"","WT1","WT2","insASAY1","insASAY2","hete_DelE61","hete_DelE62","homo_DelE61","homo_DelE62"
" Cyld",316.837533530543,283.796351149922,218.178345739057,223.357090876735,256.236844033506,242.123859655195,288.942945151874,239.61000443376
" Sall1",423.738904001537,455.027485726728,662.100426983538,688.166773070802,477.100769974816,440.722189218875,691.816669816625,813.13495055524
" Tox3",171.364255217785,155.143228880151,214.871242763015,187.993186788972,250.519504545225,241.886216592658,233.91992137307,218.286118023528
" Irx3",286.255058729422,263.770499790556,181.974078760523,149.559545382558,519.486198820026,477.502327273761,211.210048421207,162.639671566921
" Zfp319",173.87123854403,173.217070044878,422.730652350125,375.794861487305,255.740725786709,229.299828842501,288.14751669469,339.641482386582
" Ddx28",566.933430181366,516.018018382057,842.636592589093,870.213979122471,529.456443785647,481.774366258047,628.315058688376,778.449174501673
" Cdh1",15870.7532582802,16886.0015381004,10546.2345984534,11012.4582843945,9596.87722109645,10831.4671651832,13999.5000528474,13472.7193808649
" Nfat5",495.418013404162,427.306590204186,331.285826471449,354.804940829448,425.791766809613,420.772447320261,397.987464824132,395.209383318587
" Zfhx3",966.629072386344,997.316421803298,520.406028830308,563.602956234434,668.445849173412,669.477522560147,916.721944619692,659.075285285837
" Foxf1",75.2728736300866,64.8192562865591,39.0124643060637,35.8277982531346,125.0440262616,128.929147172517,80.1111405191826,64.0077074781092
" Zcchc14",525.256362544838,484.119908838255,728.236429667256,692.072954418023,783.221185600328,716.544865658383,565.279123414255,646.44001184904
" Slc7a5",23138.02369414,24280.6815200122,15308.5887787087,16430.8516296059,26844.9742526657,27343.4636293742,22497.8267939941,18835.2734488451
" Piezo1",6766.41300503719,7441.39420865711,4715.69481260976,4835.56446390248,5235.12036902551,5992.27870209707,5523.30847854003,5001.75126270258
" Rhou",1009.88381926679,862.109568557661,484.802622891107,465.218008502351,819.472793865189,846.683178739721,907.234947281364,822.406950502998
" Fam89a",130.698478679105,137.155574613955,308.630925577775,254.96655097157,104.383450888961,126.845691372201,212.198454614462,260.654960870932
" Irf2bp2",1708.53528009501,1690.11744873561,713.318453203695,738.776429013731,1703.64374031337,1832.19612122401,1219.43100109449,993.568459288643
" Ets1",420.952904120896,373.125413771595,294.600521173126,349.162346853752,699.831449232615,620.217723233935,509.011739195597,562.933927333312
" Clmp",183.001346600567,163.842607368529,299.209101011133,262.09966397808,154.480094432174,163.295251699905,200.626470201368,262.910810988262
" Sorl1",970.727893697071,992.478696641493,595.882869051623,603.946252692757,1085.04721901427,1165.8070692186,657.649516935544,548.20226927355
" H2afx",9222.93442816523,9146.82135315389,15259.1599147235,15298.5378078243,10002.238724082,10032.7650488527,12365.9773792185,12623.3697520818
" Cadm1",952.652524012013,965.150159685329,957.034843197804,889.381687913715,1536.19615963453,1674.12482662993,946.721750823735,869.179551987981
" Ptpn9",600.864692536564,599.346280686154,888.484409428002,885.730515644988,602.689549816949,566.887530426769,787.426904745468,993.035215055668
" Clk3",3415.15886678961,3310.22637407281,2446.768098633,2477.65242560783,3101.37923285274,3390.1412630873,3134.26930438736,2785.06671862699
" Prtg",3668.26896809743,3525.76933011701,3135.6443690257,3049.4996149516,6099.84087450972,5951.48669304882,3592.4338561967,3231.46913434179
" Mapk6",8983.51347438738,9234.48509590905,7228.70535674622,7698.79277172991,5585.06666269771,5564.14875976185,10986.0296582204,12227.7966928971
" Gclc",1504.36595296181,1563.81426593186,2431.65113467869,2380.27729191965,1502.76871633477,1494.38034299434,1659.7353505039,2056.68937372145
" U2surp",1616.6277850489,1623.00876348708,2650.06686787591,2641.74544768654,1818.79612760279,1899.50822497124,2146.994113242,2424.0717107306
" Pls1",348.898193688954,385.870572656217,344.364882635183,326.061740480361,247.3646836148,241.176519565761,287.277598257571,232.252588689468
" Spsb4",134.721336326575,100.564522108987,430.801701697068,390.641960445554,142.20649648536,171.234023588499,235.0616848467,339.008212925414
" Slc25a36",2397.14456543804,2166.67695779369,1362.94454205322,1271.15599065727,1652.44923877024,1704.08098217856,1283.36423691317,1060.77437541443
" Pik3cb",1214.8184898635,1183.54178476612,804.387130810608,841.466558385792,652.10048193219,624.842632831303,1202.08448213052,1200.88557388402
" Amotl2",7562.23189458464,7538.58785545967,3207.84158391118,3589.69935716492,4984.2390434779,4882.27770350909,7148.62577293897,5216.33176054941
" Rbm15b",628.950624489579,595.304788480344,1014.5796443199,939.63710982632,690.959207156304,635.908216865524,750.280634301045,899.583058217337
" Slc38a3",443.695379201101,468.710490158441,336.950719925899,330.65527311173,932.229353051811,874.036098076463,336.514020218492,290.076186222596
" Rbm6",947.124391295679,1026.24346745254,1904.5424249254,1930.90300868024,1085.59560464696,1029.31465773419,1335.23355990246,1800.57160290365
" Azi2",818.504847605795,837.725900593957,1338.06443133468,1211.27840969138,768.978835809384,876.469530009284,1004.63512952149,1154.76802647675
" Eomes",339.800512118985,379.493075604665,401.045266982095,477.989123042873,161.940954848239,207.201090803586,527.77411516142,522.93937415753
" Zfp651",82.7201304490328,83.5620508400628,180.81213667576,177.052373076839,95.0673141576466,94.5203058328348,106.000136785899,168.734311504743
" Plekhg1",144.42429519477,152.856103422402,297.504808532533,275.439265593947,107.572394352305,104.123977081075,197.412617572434,254.914668912174
" Zbtb2",304.193847229612,311.090248446881,518.788310173828,472.57137907368,376.445152024483,350.340086541373,420.82410186376,457.148322932049
" Hivep2",97.3489133507491,75.3459667072587,86.4878701436695,84.2158852144001,51.5821328763194,51.9527108883772,116.00728163062,135.494682420525
" Cited2",1271.34590069485,1162.00374074685,2520.72532986492,2458.40502609526,1382.75585200399,1444.63864664023,1718.48400912316,2349.55121352572
" Myb",91.3127497355424,82.0335793604949,51.0374329897855,59.5654128257101,148.715317355345,121.482196838135,48.3711320161245,35.4972321401486
" Tpd52l1",2626.91365064757,2554.27262687228,1787.51861793349,1951.97168797637,1922.99938678924,1887.00068893478,2046.74090575279,1418.95539367908
" Bend3",297.727895489069,286.783272256558,830.171091917959,761.344427606036,312.533454784017,318.52643070118,393.780441203043,587.011627182909
" Lin28b",439.301621245873,428.998604291967,619.147740858869,557.927426610387,628.894833116411,650.493133318578,544.789350966438,627.043295028053
" Shc2",358.512040599227,363.102559552141,474.602960935102,490.412804849875,607.363884597274,590.449855413962,402.628012561692,520.841478107269
" Plk5",569.639912992975,625.174361059284,458.104458895532,466.009474615301,271.343841530188,305.382603565586,484.446124684059,490.059010379274
" Nfic",264.43427323309,276.627634152234,240.531394148109,279.188419468344,180.466049532735,187.207726323731,269.630735831851,290.405339484014
" Cdk17",1242.95194294823,1164.85167744724,788.789621088084,873.831197340854,1096.45603168884,1176.21745986237,1355.24700995337,1070.01630123987
" Socs2",772.139787871541,698.732329524665,484.350292284251,484.429079103336,746.669563880375,757.595510303856,608.689082714772,405.593393920692
" Pawr",9416.46129863896,9302.4320253592,5229.32665433306,5806.14166001564,5791.30434874269,6095.3934472193,9981.15905309672,9987.46084422855
" Mdm2",6089.01440405273,5971.56711651461,5261.93978667485,5193.65803412776,3548.84152793414,3938.6784168156,5958.57596668871,5734.79017072188
" Gns",4287.71009585243,4394.3420322207,3816.3554951065,3773.50708790128,6034.46348153561,6157.66275789054,4044.82731042045,3955.77594503817
" Ppm1h",111.573267704597,92.9696822386116,253.183811479396,209.438485431311,281.252677789722,252.584932304143,162.397841740533,167.782803634328
" Pip4k2c",3212.10164686547,3206.33426973503,2466.96557024456,2384.92719284611,2524.37639682067,2537.79104522668,2685.10079682622,2516.81758501839
" Tug1",578.859301710252,512.303035414338,1260.63752727222,1166.61631308842,504.843504345048,505.53620178969,703.737244817539,928.63171968725
" Gas2l1",803.383331182303,914.839125410971,1775.80539036148,1757.66026290813,531.413634620541,548.066215087878,1207.53656940571,1743.72159135793
" Mrps24",5015.87619229155,5000.203031432,3936.85831095379,4326.206639066,3017.74392409826,3133.01067055025,4296.38957484627,3660.98355033085
" Spred2",998.458008188111,1031.84126283543,1590.6953406749,1656.32096543248,1021.99997326733,897.309480953704,1451.75730915435,1626.95248374061
" Slit3",122.015406672516,143.853370517368,91.4925061171135,119.298927020916,227.767265483394,214.830534297359,136.638270392909,142.052300308868
" Ube2b",2285.21066743954,2284.4989837714,4525.52791697038,4474.27621153403,2075.81520513642,2347.72278664799,3213.95400433253,4121.74631943996
" Irf1",1113.57870139103,1100.36526435922,2155.20308396408,1818.61283610714,570.060885133824,662.594458971535,1237.86072761573,1706.14835621048
" Jmjd4",418.421176672587,445.792936647157,612.718878482391,582.605987280648,367.9418971078,309.300796978983,602.889042460183,651.069151362538
" Rai1",224.902248993739,222.761060067547,527.669268404192,505.842751415016,283.476430378413,289.050971452539,342.788487049171,563.878460033575
" 2410006H16Rik",51945.4368382039,47723.1774409791,27287.2408774327,28045.4304848543,43251.6048377837,44721.251422649,29587.2010321327,23879.2390512083
" Ntn1",173.867127413092,158.158323242613,149.289270280983,165.098965200992,494.819584258509,428.474312945438,122.244709542339,109.839579737716
" Atp1b2",385.940173721901,379.221162145705,270.494312939732,292.181377916125,284.518648312477,299.422562864994,323.353258717405,294.740903070019
" Fxr2",8885.07680734147,9182.70966960968,6451.60887086128,6465.12073137277,7444.64292745963,7804.06904515653,7439.83170041398,6687.78599322064
" Gsg2",404.617874454421,386.320460732793,738.916685524357,776.202555348437,405.442410935077,480.157838135371,545.503576469862,717.524122975246
" Sez6",135.918726934652,179.818619999027,112.162742409566,98.0402786876553,141.118440487127,129.48499912252,93.7745458950669,81.7255164019635
" Rab34",2057.63588149636,2033.72820874164,3240.86185021251,3213.63124227356,2910.24623124967,2659.59406188886,2749.00894111519,3258.69506588107
" Suz12",9187.64393161054,8858.87873593069,6769.18822241998,6482.38486221815,5856.40868733922,5996.1782824328,7872.44782443821,6235.92126108049
" Cuedc1",256.721815235648,227.937526234103,308.808568602661,246.013323028648,439.202396486057,355.518068952519,257.396280586851,294.827954492329
" Hlf",4.68651322398013,7.23788221562074,6.42264754036648,2.55595334932412,26.153678795269,24.3084686821633,1.97831242692675,5.95605218468758
" Lasp1",6231.26013372565,6375.35837679495,7059.99080465228,7356.99547095404,3303.64776008402,3266.93347496463,7818.40210771464,8112.43448465138
" Wipf2",647.267068679797,669.341336044239,515.302634295813,486.963068415764,605.951813377913,545.089300189328,552.430271475409,536.3418620839
" Stat3",1288.8058740575,1263.87894457457,664.517176173526,684.994651556848,1317.66398531961,1342.3184380813,962.465039610642,814.239059378927
" Arl4d",483.099144099002,522.024835361362,474.589038604727,482.602646060788,389.842354437056,375.499144261492,323.05756042607,311.238635494135
" Mapt",215.814023180223,201.472759759907,134.516135492781,155.791755039657,125.427059206382,110.785063401856,128.197005330443,110.670093883481
" Cyb561",1543.45465799027,1491.06755089685,1090.66677759091,1117.984811871,972.768267630887,1015.59337792361,1332.9355728921,1212.49186119377
" 1810010H24Rik",183.291711963455,198.864086818334,101.557491882477,128.986482977519,225.090431888614,181.246550065122,188.57867036002,126.240603747076
" Axin2",673.446449683569,699.774083713345,1202.78217079261,1057.85569225988,1011.75987574087,964.093423281816,662.886055004306,915.039761834942
" Slc9a3r1",654.164818135982,558.624135996891,1650.88199479219,1599.38548474561,896.674177574661,866.50433326984,1026.29093618263,1087.54913887806
" Srsf2",7424.86955390749,7336.45437069593,18385.435674996,17336.7206547089,7396.29444184309,7548.10905652374,11222.3743279734,14613.0708470758
" Socs3",383.357516284776,342.701338341065,259.846930578481,245.807195401477,395.333914069174,325.354117472967,310.531484562371,277.839098584935
" Cbx4",246.977844297941,251.004090524608,132.939751116471,138.526601205853,316.060250469952,336.388318433798,191.091967405787,164.159562575398
" Endov",168.288657972362,153.354570935475,291.956817705712,237.015807869236,210.877072495513,216.21287190436,180.003017346517,237.313008314761
" 2900052L18Rik",274.736508539031,216.438354193627,118.658817757108,120.323757278809,92.9213197499419,137.717925624296,194.461799570911,169.289906428249
" Actg1",88724.6746124529,90957.3225248381,65407.7648008756,69364.4735072583,68869.4482642955,65944.1709520877,92998.4077990215,89372.6470392506
" Notum",240.565694233784,266.148686809527,337.465413611484,290.108793608253,431.277781888308,477.582820815919,232.113644116254,360.043354564364
" Mycn",350.191410218267,440.824331877703,678.33353468266,719.414744359846,664.223240397928,639.758399227911,454.098866884682,535.953716865561
" Greb1",123.051506001935,129.228264115608,191.121188938543,199.989075831731,199.303994000014,192.741714957426,181.917996724248,204.343295467158
" Rock2",2137.30052929722,2019.63518362904,1930.77819542823,2005.97324814406,1326.04243820886,1378.68256165819,2427.73536320952,2453.19605024609
" Klf11",1532.81737307088,1500.27055692947,1003.93738657386,968.87868866853,1618.22585468153,1552.08112751214,1239.55793118959,1035.01139470138
